source1_entity_id,missed_target_id,reason,country_mismatch,beyond_rank_cut,postings_budget_dropped
S1-174345689,S3-605900075,no_shared_term,False,False,False
S1-384281798,S3-288565817,no_shared_term,False,False,False
S1-16153879,S2-125193522,no_shared_term,False,False,False
S1-428966875,S2-205998813,beyond_rank_cut,False,True,False
S1-428966875,S3-272115614,beyond_rank_cut,False,True,False
S1-588132520,S2-877491272,beyond_rank_cut,False,True,False
S1-732385254,S2-565791604,beyond_rank_cut,False,True,False
S1-533306885,S2-968973387,beyond_rank_cut,False,True,False
S1-537710377,S3-58375917,no_shared_term,False,False,False
S1-476044120,S3-846030573,beyond_rank_cut,False,True,False
S1-252736827,S3-50822044,beyond_rank_cut,False,True,False
S1-22025519,S3-705286446,beyond_rank_cut,False,True,False
S1-399031505,S3-203158694,beyond_rank_cut,False,True,False
S1-34741139,S2-619781029,beyond_rank_cut,False,True,False
S1-50032772,S3-841198353,no_shared_term,False,False,False
S1-613505394,S3-776176748,beyond_rank_cut,False,True,False
S1-613505394,S3-860966164,beyond_rank_cut,False,True,False
S1-954629051,S3-469234082,no_shared_term,False,False,False
S1-760807910,S2-225904845,beyond_rank_cut,False,True,False
S1-231511538,S3-332364419,beyond_rank_cut,False,True,False
S1-686320485,S2-324632596,beyond_rank_cut,False,True,False
S1-533303240,S3-402712209,beyond_rank_cut,False,True,False
S1-138627568,S3-518001249,no_shared_term,False,False,False
S1-238030612,S2-716389097,beyond_rank_cut,False,True,False
S1-211970950,S2-218799438,beyond_rank_cut,False,True,False
S1-232727170,S3-702903037,beyond_rank_cut,False,True,False
S1-110640504,S2-760376695,beyond_rank_cut,False,True,False
S1-110640504,S3-312169450,beyond_rank_cut,False,True,False
S1-883317450,S3-418316544,beyond_rank_cut,False,True,False
S1-231278464,S2-84457251,beyond_rank_cut,False,True,False
S1-156716491,S2-638925550,no_shared_term,False,False,False
S1-763389466,S2-53164703,no_shared_term,False,False,False
S1-763389466,S3-68283439,no_shared_term,False,False,False
S1-763389466,S3-994033040,no_shared_term,False,False,False
S1-357878092,S2-939019584,no_shared_term,False,False,False
S1-357878092,S2-975046908,no_shared_term,False,False,False
S1-486349441,S2-521596035,beyond_rank_cut,False,True,False
S1-720046243,S3-342166783,beyond_rank_cut,False,True,False
S1-798948414,S2-399013920,no_shared_term,False,False,False
S1-798948414,S3-974998889,beyond_rank_cut,False,True,False
S1-200257851,S2-788794426,no_shared_term,False,False,False
S1-95097746,S3-625114653,beyond_rank_cut,False,True,False
S1-149363642,S2-215423357,no_shared_term,False,False,False
S1-820639044,S3-306893035,beyond_rank_cut,False,True,False
S1-516646164,S2-112798421,no_shared_term,False,False,False
S1-516646164,S3-62866386,beyond_rank_cut,False,True,False
S1-253925816,S3-990676858,no_shared_term,False,False,False
S1-421152102,S2-572803277,beyond_rank_cut,False,True,False
S1-133899583,S2-152621394,no_shared_term,False,False,False
S1-415788489,S2-914115474,beyond_rank_cut,False,True,False
S1-759831928,S2-88723587,beyond_rank_cut,False,True,False
S1-961262928,S3-397254111,beyond_rank_cut,False,True,False
S1-627918613,S3-146964745,beyond_rank_cut,False,True,False
S1-904168366,S2-767877661,beyond_rank_cut,False,True,False
S1-904168366,S2-970376857,beyond_rank_cut,False,True,False
S1-904168366,S3-41088127,beyond_rank_cut,False,True,False
S1-559198627,S2-51287506,beyond_rank_cut,False,True,False
S1-559198627,S3-345611780,beyond_rank_cut,False,True,False
S1-810586929,S3-284423814,beyond_rank_cut,False,True,False
S1-449712297,S2-289421157,beyond_rank_cut,False,True,False
S1-809810485,S2-584115732,beyond_rank_cut,False,True,False
S1-174735868,S2-21414255,beyond_rank_cut,False,True,False
S1-445408301,S2-168494831,no_shared_term,False,False,False
S1-291218594,S3-818533049,beyond_rank_cut,False,True,False
S1-829881037,S2-758546566,beyond_rank_cut,False,True,False
S1-342344172,S2-130834849,beyond_rank_cut,False,True,False
S1-357329023,S2-807399033,no_shared_term,False,False,False
S1-751896809,S3-730859421,beyond_rank_cut,False,True,False
S1-982950788,S3-765087295,beyond_rank_cut,False,True,False
S1-267109015,S2-510106736,no_shared_term,False,False,False
S1-929264493,S3-517549649,beyond_rank_cut,False,True,False
S1-68560249,S3-249335284,no_shared_term,False,False,False
S1-559208784,S3-892685915,beyond_rank_cut,False,True,False
S1-893209460,S2-194843981,beyond_rank_cut,False,True,False
S1-127870667,S3-3521104,beyond_rank_cut,False,True,False
S1-127870667,S3-375229451,beyond_rank_cut,False,True,False
S1-203690405,S2-454948746,no_shared_term,False,False,False
S1-533830522,S2-719542887,beyond_rank_cut,False,True,False
S1-258918779,S3-535590167,beyond_rank_cut,False,True,False
S1-258918779,S3-611297777,beyond_rank_cut,False,True,False
S1-258918779,S3-996144019,beyond_rank_cut,False,True,False
S1-201061465,S2-814755459,beyond_rank_cut,False,True,False
S1-53086881,S2-861854241,beyond_rank_cut,False,True,False
