source1_entity_id,true_match_count,candidate_count,hits,missed_target_ids
S1-318749106,3,300,2,S3-916543250
S1-35404352,0,122,0,
S1-668075910,4,196,4,
S1-449160891,3,300,3,
S1-56357244,3,300,3,
S1-944515594,3,56,3,
S1-252282277,6,300,6,
S1-815919937,6,300,5,S2-127680244
S1-406682390,5,300,5,
S1-109219739,3,300,3,
S1-552550287,6,300,6,
S1-142059152,4,300,4,
S1-594510792,5,300,5,
S1-511451238,2,300,2,
S1-877422769,4,300,4,
S1-253273218,2,300,2,
S1-953250313,3,300,3,
S1-906686327,5,300,5,
S1-951192072,6,300,4,"S2-374827640,S2-518809729"
S1-861601197,1,300,1,
S1-828445429,3,300,3,
S1-812849598,4,300,4,
S1-427203338,4,300,4,
S1-403271329,4,300,4,
S1-720620746,2,300,2,
S1-952176357,2,300,1,S3-875161736
S1-433661733,5,300,5,
S1-916973136,5,300,5,
S1-358220318,3,300,3,
S1-324280856,4,300,3,S3-649523586
S1-574538577,4,300,4,
S1-803001746,0,300,0,
S1-234834700,3,300,3,
S1-274007163,5,300,5,
S1-365063896,6,300,6,
S1-737364874,3,300,3,
S1-788009701,0,300,0,
S1-660391310,5,300,5,
S1-179721803,5,300,5,
S1-338638184,3,300,3,
S1-856035606,1,300,1,
S1-524387183,2,300,2,
S1-833965993,0,300,0,
S1-918685057,3,300,3,
S1-393792439,3,300,3,
S1-299673602,2,300,2,
S1-155844135,2,300,2,
S1-407364123,2,300,2,
S1-963882205,4,300,4,
S1-129960765,0,300,0,
S1-42610062,2,300,2,
S1-687863817,4,300,3,S3-657986617
S1-231043835,4,300,4,
S1-583097021,3,300,3,
S1-694323972,4,300,4,
S1-546546214,0,300,0,
S1-352278746,0,300,0,
S1-943330616,1,300,1,
S1-241854648,3,300,3,
S1-945033770,3,300,3,
S1-498419121,2,300,2,
S1-427592524,5,300,5,
S1-200966106,4,300,3,S3-458484674
S1-278971057,8,300,7,S2-558784176
S1-15387107,4,300,4,
S1-138843069,6,300,6,
S1-756749245,3,300,3,
S1-429927607,3,300,3,
S1-197097256,2,300,2,
S1-647059934,3,300,3,
S1-673919993,3,300,3,
S1-410231389,3,125,3,
S1-666561782,4,300,4,
S1-801431028,3,300,3,
S1-476891918,3,300,3,
S1-298178795,3,300,3,
S1-896567489,5,300,5,
S1-966283485,2,300,2,
S1-141920734,3,300,3,
S1-357915044,4,300,4,
S1-522237071,2,300,2,
S1-460502253,8,300,8,
S1-161282005,2,300,2,
S1-80152641,2,300,2,
S1-279596334,1,300,1,
S1-914583512,0,300,0,
S1-394657936,0,300,0,
S1-412074780,4,300,4,
S1-61658065,2,300,2,
S1-593752347,5,300,5,
S1-10771898,5,300,5,
S1-120240484,4,300,4,
S1-401464232,7,300,7,
S1-999273782,6,300,6,
S1-349562628,4,300,4,
S1-281223351,4,300,4,
S1-794887381,4,300,4,
S1-147186908,3,224,3,
S1-934620932,6,300,6,
S1-842325109,5,300,5,
S1-749781539,4,300,4,
S1-89083644,5,300,5,
S1-733001236,4,300,4,
S1-806314261,1,300,1,
S1-447610017,4,300,4,
S1-827437471,5,300,5,
S1-257980800,3,300,3,
S1-394311949,5,300,5,
S1-868334950,3,300,3,
S1-430842276,7,300,7,
S1-752936591,4,300,4,
S1-344198563,3,300,3,
S1-357360980,0,300,0,
